"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.10707458112606e-150,3.21520409638123,0.706,0.109,2.69971207353402e-146,"0","B830017H08Rik"
1.09792111726039e-119,3.07547176519411,0.523,0.064,2.6773904365512e-115,"0","Calb2"
2.06905418390204e-96,3.00709935745725,0.509,0.135,5.04559553286351e-92,"0","Nqo1"
6.60254185512594e-52,2.8938092870309,0.344,0.051,1.61009585679101e-47,"0","Kirrel3"
6.92491865310574e-67,2.83093029524214,0.376,0.057,1.68871066274637e-62,"0","Rims3"
1.29382281723468e-148,2.36088691644238,0.812,0.183,3.15511632210849e-144,"1","Ano2"
7.47539651634038e-182,2.3096432657649,0.904,0.218,1.82295019447476e-177,"1","Gramd1c"
4.84349457339454e-225,2.28358181212858,1,0.474,1.18113458666799e-220,"1","Stoml3"
1.94299450940674e-90,2.274914490719,0.498,0.108,4.73818641063928e-86,"1","Gldc"
1.71588315216808e-54,2.27261839349264,0.372,0.08,4.18435265487709e-50,"1","Gm6878"
5.23988375401797e-142,9.32945238018995,0.483,0.003,1.27779805225482e-137,"2","Fcrls"
3.96230766651763e-318,7.57274620404909,0.909,0.013,9.66248347556989e-314,"2","Ms4a7"
0,7.49535797658702,0.987,0.018,0,"2","C1qa"
0,7.4710143660975,0.98,0.016,0,"2","C1qc"
7.12117777821291e-139,7.35622650326422,0.483,0.006,1.736570412995e-134,"2","Pf4"
6.73535250293692e-79,6.92477825986763,0.307,0.003,1.6424830613662e-74,"3","Acaa1b"
1.84054550883684e-118,6.41871233302765,0.451,0.007,4.48835427784952e-114,"3","Serpinb5"
8.75181097575308e-244,5.68210625223748,0.79,0.028,2.13421662454715e-239,"3","Krt15"
1.09755628126537e-139,5.27001172441013,0.531,0.015,2.67650074749373e-135,"3","Defb1"
3.93896474820046e-171,5.05777309967094,0.616,0.024,9.60555943496165e-167,"3","Anxa8"
0,9.3462750416127,0.97,0.007,0,"4","Cd79a"
1.67079839729685e-92,9.20240580366928,0.335,0.003,4.07440897164809e-88,"4","Iglc1"
1.76014022570675e-183,9.05574744726095,0.617,0.004,4.29227795440848e-179,"4","Iglc2"
1.64350270890974e-314,8.74074098022984,0.906,0.016,4.00784570594729e-310,"4","Igkc"
1.62168073371218e-150,8.72197064303279,0.503,0.003,3.95463063723051e-146,"4","Pax5"
7.88575427708809e-54,3.07006657871383,0.285,0.038,1.9230200380107e-49,"5","Hectd2os"
5.59316119084313e-274,2.81370264327903,1,0.49,1.36394828799901e-269,"5","S100a5"
2.53219685422248e-59,2.73213961093898,0.336,0.053,6.17501524870694e-55,"5","Rgs7"
2.02301769402037e-80,2.71656025795322,0.412,0.067,4.93333094863808e-76,"5","Kcnmb3"
5.54952588676304e-66,2.63900593323163,0.423,0.073,1.35330738274603e-61,"5","Lrrc3b"
1.11946400515296e-244,10.5067461434092,0.786,0.02,2.72992492296601e-240,"6","Col1a1"
9.56091400787319e-171,10.4347675916699,0.573,0.002,2.33152448995996e-166,"6","Lum"
6.18353204822103e-118,10.3087472582007,0.432,0.001,1.50791612527918e-113,"6","Omd"
1.40796614485321e-76,10.1513466709912,0.316,0.001,3.43346624083904e-72,"6","Wif1"
9.00775192726135e-294,9.98945918831527,0.878,0.024,2.19663038498195e-289,"6","Col1a2"
1.03932931684072e-159,8.40432658931286,0.55,0.002,2.53450847204778e-155,"7","Nhlh1"
5.81127143621069e-108,8.06883299285796,0.4,0.002,1.41713665243434e-103,"7","Thsd7b"
1.41300545473941e-248,7.49017344829043,0.78,0.013,3.44575510192752e-244,"7","Gng8"
1.92866525758757e-79,7.36600769028251,0.316,0.003,4.70324309715305e-75,"7","Cnpy1"
2.42695163997039e-298,7.35315373021788,0.874,0.045,5.91836426923178e-294,"7","Sox11"
6.89035295046525e-82,7.39337002286801,0.291,0.003,1.68028147050046e-77,"8","Cd209a"
5.56536116305758e-95,6.6878331277963,0.386,0.007,1.35716897322322e-90,"8","Ifi205"
8.74323178470712e-78,5.37268953577022,0.324,0.01,2.13212450301868e-73,"8","Phf11a"
4.18090234176259e-58,5.08971849137768,0.272,0.017,1.01955484506223e-53,"8","Tnfsf9"
4.91014004839814e-161,4.98922044210878,0.639,0.051,1.19738675220237e-156,"8","Ms4a4c"
7.18961337177403e-112,10.9767039302563,0.39,0.001,1.75325911684081e-107,"9","Gpihbp1"
9.18962101264719e-322,9.92020767504926,0.894,0.003,2.24098098014414e-317,"9","Ptprb"
1.20347892544361e-73,9.9004960447082,0.282,0.001,2.93480370758679e-69,"9","Rbp7"
1.6156003182794e-146,9.82366189120956,0.513,0.001,3.93980293615614e-142,"9","Sox18"
2.29464374690659e-112,9.74187493659793,0.419,0.001,5.5957182412064e-108,"9","Sox17"
8.84330329817592e-90,10.6285262052478,0.347,0.004,2.15652794229318e-85,"10","Gzma"
1.00945123338122e-79,10.3116510218709,0.311,0.001,2.46164777772344e-75,"10","Prf1"
1.33219862290645e-72,10.028153206248,0.287,0,3.24869956181966e-68,"10","Sh2d1a"
5.85692618261363e-181,9.861832013528,0.607,0.002,1.42827001889216e-176,"10","Cd3g"
2.64329516629491e-147,9.82532060921601,0.526,0.001,6.44593959252678e-143,"10","Cd3e"
6.44329667514875e-220,4.4798084143448,0.84,0.142,1.57126232720177e-215,"11","Dlg2"
0,4.24683011452114,1,0.497,0,"11","S100a5"
1.40754757293856e-312,3.64222522005191,0.999,0.355,3.43244551136796e-308,"11","Pcp4l1"
1.52804664810162e-46,3.47738454722236,0.281,0.035,3.72629455606061e-42,"11","Nphs1"
2.35724852204255e-62,3.45681725116537,0.361,0.039,5.74838624585296e-58,"11","Hectd2os"
1.0189691646057e-229,7.28154232721003,0.764,0.012,2.48485820480747e-225,"12","Cxcr2"
2.74236131486659e-60,7.21762083893408,0.271,0.003,6.68752230243366e-56,"12","Stfa2l1"
1.38625245283857e-122,6.46213077921145,0.501,0.017,3.38051523149213e-118,"12","Clec4d"
3.58851866400118e-77,6.41771352283645,0.348,0.012,8.75096161403328e-73,"12","Acod1"
5.67004492735846e-171,6.3922820193568,0.628,0.021,1.38269715598564e-166,"12","Il1r2"
1.08466227814283e-67,7.96228041954459,0.251,0.004,2.64505743147911e-63,"13","AU040972"
3.66414628725401e-71,7.58483074473349,0.33,0.035,8.93538713609762e-67,"13","Bpifa1"
8.91222714581364e-254,7.05070681348033,0.839,0.069,2.17333571177811e-249,"13","Reg3g"
2.33496352646596e-74,6.89150585372856,0.303,0.01,5.69404205563988e-70,"13","Tff2"
5.90569998775662e-72,6.6234804995385,0.281,0.004,1.44016399901433e-67,"13","Ttc36"
2.78928311499215e-85,7.90825983169309,0.323,0.001,6.80194580421985e-81,"14","Car10"
3.99981720954723e-180,7.26912450854865,0.622,0.007,9.75395424720187e-176,"14","Abca4"
1.05547745220065e-243,7.1691877212417,0.771,0.014,2.57388731493651e-239,"14","Nrcam"
4.16091670232519e-174,6.1233575200451,0.614,0.012,1.01468114702902e-169,"14","Vit"
3.75365893127824e-141,6.11506576564226,0.513,0.01,9.15367266981511e-137,"14","Slc47a1"
1.97755582261684e-88,5.91240151613904,0.338,0.008,4.82246762903341e-84,"15","Adgre4"
8.2053923055099e-92,5.7456620137089,0.359,0.007,2.00096696762164e-87,"15","F10"
1.46507767725806e-179,5.71529722154953,0.622,0.02,3.57273842376149e-175,"15","F13a1"
1.32472636457714e-58,5.66631737532048,0.255,0.007,3.23047771265782e-54,"15","Treml4"
2.2094104163363e-85,5.54106285973013,0.341,0.012,5.38786824127771e-81,"15","Ear2"
6.90383876364656e-218,2.30332430961926,0.972,0.293,1.68357012090285e-213,"16","Adcy3"
3.18348629485102e-205,2.21390439823532,0.955,0.288,7.7632496786237e-201,"16","Umodl1"
1.23260472670798e-95,2.0876164977806,0.621,0.181,3.00582988655009e-91,"16","Mslnl"
2.43692691453988e-209,2.07021596491385,0.995,0.408,5.94268997379696e-205,"16","Stom"
3.21190171973767e-128,2.05374286598218,0.759,0.229,7.83254353375229e-124,"16","Ano2"
1.73609240057816e-294,11.2001546175007,0.856,0.008,4.23363492804991e-290,"17","Chil6"
2.85653033523671e-117,11.0913363352518,0.441,0.002,6.96593487550824e-113,"17","5430419D17Rik"
1.12790225345574e-80,11.0090304920244,0.334,0.008,2.75050243527717e-76,"17","Bpifb4"
1.08547177686548e-83,10.9860214845488,0.339,0.008,2.64703147506417e-79,"17","Gpx6"
0,10.476314356772,0.983,0.029,0,"17","Vmo1"
2.32271410501401e-158,9.27425569511595,0.538,0.001,5.66417061648716e-154,"18","Kl"
0,9.12464155647015,0.962,0.006,0,"18","Smbd1"
0,9.04699431071604,0.974,0.047,0,"18","Coch"
3.16142003832045e-261,9.01816277901305,0.797,0.003,7.70943890544826e-257,"18","Clcnka"
0,8.99952744037676,0.942,0.006,0,"18","Galnt13"
1.08017416150351e-163,7.59217798014589,0.533,0.004,2.63411271024246e-159,"19","Tac1"
0,6.25847659026252,1,0.092,0,"19","Wfdc18"
1.97074239798917e-156,5.8285180516976,0.574,0.013,4.80585241173638e-152,"19","Barx2"
6.09662485028448e-230,5.56712819355893,0.754,0.026,1.48672293599037e-225,"19","Cited4"
7.93737546034656e-119,5.29104207385503,0.458,0.02,1.93560837976011e-114,"19","Bglap3"
0,13.3174489161716,0.989,0.01,0,"20","Camp"
0,11.6740107180076,0.993,0.015,0,"20","Ngp"
6.46359888230021e-69,9.48815907352232,0.274,0,1.57621322343773e-64,"20","4930438A08Rik"
9.93675806367499e-114,9.17933932681898,0.417,0.003,2.42317782140778e-109,"20","Fcnb"
7.80507627106187e-234,8.59155997712086,0.712,0.002,1.90334589946115e-229,"20","Itgb2l"
2.2844181044294e-81,11.1753855799508,0.287,0,5.57078198946153e-77,"21","Map3k7cl"
6.58196698736223e-124,10.4850849394438,0.455,0.001,1.60507846953815e-119,"21","Higd1b"
1.0173605174943e-78,10.4285380468679,0.287,0,2.4809353579616e-74,"21","Gm13861"
2.16030232281451e-126,10.2861127535047,0.443,0.002,5.26811324441546e-122,"21","Pln"
1.00644741114174e-283,10.254955770946,0.817,0.004,2.45432265681025e-279,"21","Myh11"
0,9.12102099724855,0.958,0.009,0,"22","Muc2"
3.06311154230115e-299,8.20329806239607,0.859,0.006,7.46970380705558e-295,"22","Gldn"
0,8.122724600909,1,0.048,0,"22","Sec14l3"
2.27114928096055e-174,7.8897602217324,0.602,0.004,5.5384246365504e-170,"22","Nipal1"
9.39740743755718e-261,7.65263696591758,0.784,0.009,2.29165177772269e-256,"22","Tex33"
0,12.1861180245283,0.942,0.005,0,"23","Car6"
0,11.6581357904898,0.98,0.007,0,"23","Scgb2b27"
1.19016063538705e-314,11.4226672952178,0.898,0.006,2.90232572545487e-310,"23","Scgb1b27"
1.86124087798212e-101,10.933812355331,0.383,0.001,4.5388220050472e-97,"23","Csn3"
8.29639793431297e-266,9.13908629036576,0.79,0.007,2.02315960026156e-261,"23","Fbp1"
0,14.5058394456955,0.999,0.003,0,"24","Bpifb9a"
0,14.0480319847076,0.997,0.004,0,"24","Bpifb9b"
0,13.9035172413714,0.972,0.001,0,"24","Bpifb5"
5.68313022666982e-308,13.0663655603914,0.888,0.001,1.3858881370757e-303,"24","Odam"
0,12.9304152219702,0.991,0.002,0,"24","2310003L06Rik"
3.72005747252096e-122,9.56244528702575,0.437,0.001,9.07173215248961e-118,"25","Hmx3"
4.64554074009064e-160,9.43720769980179,0.543,0.002,1.1328615648785e-155,"25","Il25"
3.73279501581472e-228,9.38574303468773,0.711,0.002,9.10279392556578e-224,"25","Trpm5"
3.20592675538505e-183,9.2552133710191,0.613,0.002,7.81797298568198e-179,"25","Sh2d7"
4.46592468051502e-226,9.23619675556623,0.71,0.003,1.08906039259039e-221,"25","Avil"
1.54703654016852e-61,11.7586349250989,0.256,0.001,3.77260330685494e-57,"26","Car1"
1.37074189851982e-138,8.72865740326054,0.536,0.005,3.34269119373043e-134,"26","Ctsg"
3.63930800245633e-142,8.62067526077843,0.538,0.003,8.87481649479001e-138,"26","Mpo"
1.94825547930725e-151,7.79721266501064,0.596,0.018,4.75101581183865e-147,"26","Prtn3"
8.44093348364899e-125,7.68286632299587,0.487,0.005,2.05840603932264e-120,"26","Elane"
